,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,Minority_pct,region
133,2021-07-02,Forsyth,North Carolina,37067.0,37030,422.0,387703.0,0.0955,0.0011,2.0,0.0,0.0,0.0,0.0,Low,0.4384,Northern
134,2021-07-02,Franklin,North Carolina,37069.0,7047,54.0,70655.0,0.0997,0.0008,0.0,0.0,0.0,0.0,0.0,Low,0.366,Eastern
135,2021-07-02,Gaston,North Carolina,37071.0,27198,441.0,233387.0,0.1165,0.0019,11.0,0.0,0.0,0.0,0.0,Low,0.31210000000000004,Central
136,2021-07-02,Gates,North Carolina,37073.0,749,13.0,10324.0,0.0725,0.0013,-1.0,0.0,0.0,0.0,0.0,Low,0.3546,Coastal
137,2021-07-02,Graham,North Carolina,37075.0,666,13.0,7935.0,0.0839,0.0016,0.0,0.0,0.0,0.0,0.0,Low,0.1391,Western
138,2021-07-02,Granville,North Carolina,37077.0,5991,83.0,60720.0,0.0987,0.0014,0.0,0.0,0.0,0.0,0.0,Low,0.43310000000000004,Eastern
139,2021-07-02,Greene,North Carolina,37079.0,2421,47.0,19978.0,0.1212,0.0024,3.0,0.0,0.0,0.0,0.0,Low,0.5114000000000001,Coastal
140,2021-07-02,Guilford,North Carolina,37081.0,48742,721.0,545484.0,0.0894,0.0013,20.0,0.0,1.0,0.0,0.0,Low,0.5133,Northern
141,2021-07-02,Halifax,North Carolina,37083.0,5686,114.0,47859.0,0.1188,0.0024,-1.0,0.0,0.0,0.0,0.0,Low,0.603,Coastal
142,2021-07-02,Harnett,North Carolina,37085.0,12069,181.0,134986.0,0.0894,0.0013,9.0,0.0,0.0,0.0,0.0,Low,0.3871,Eastern
143,2021-07-02,Haywood,North Carolina,37087.0,4498,99.0,62831.0,0.0716,0.0016,2.0,0.0,0.0,0.0,0.0,Low,0.09099999999999997,Western
144,2021-07-02,Henderson,North Carolina,37089.0,10314,165.0,117429.0,0.0878,0.0014,4.0,0.0,0.0,0.0,0.0,Low,0.19030000000000002,Western
145,2021-07-02,Hertford,North Carolina,37091.0,2117,64.0,20374.0,0.1039,0.0031,1.0,0.0,0.0,0.0,0.0,Low,0.6463,Coastal
146,2021-07-02,Hoke,North Carolina,37093.0,4908,56.0,53783.0,0.0913,0.001,6.0,0.0,0.0,0.0,0.0,Low,0.5962000000000001,Eastern
147,2021-07-02,Hyde,North Carolina,37095.0,671,9.0,4595.0,0.146,0.002,0.0,0.0,0.0,0.0,0.0,Low,0.3559,Coastal
148,2021-07-02,Iredell,North Carolina,37097.0,19284,236.0,192986.0,0.0999,0.0012,5.0,0.0,0.0,0.0,0.0,Low,0.25349999999999995,Northern
149,2021-07-02,Jackson,North Carolina,37099.0,3660,56.0,41919.0,0.0873,0.0013,-1.0,0.0,0.0,0.0,0.0,Low,0.22460000000000002,Western
150,2021-07-02,Johnston,North Carolina,37101.0,22291,237.0,224833.0,0.0991,0.0011,11.0,0.0,0.0,0.0,0.0,Low,0.3406,Coastal
151,2021-07-02,Jones,North Carolina,37103.0,899,28.0,9076.0,0.0991,0.0031,0.0,0.0,0.0,0.0,0.0,Low,0.36029999999999995,Coastal
152,2021-07-02,Lee,North Carolina,37105.0,6154,82.0,64360.0,0.0956,0.0013,-1.0,0.0,0.0,0.0,0.0,Low,0.393,Eastern
153,2021-07-02,Lenoir,North Carolina,37107.0,6270,124.0,54323.0,0.1154,0.0023,1.0,0.0,0.0,0.0,0.0,Low,0.5081,Coastal
154,2021-07-02,Lincoln,North Carolina,37109.0,10289,86.0,88742.0,0.1159,0.001,3.0,0.0,0.0,0.0,0.0,Low,0.1624,Central
155,2021-07-02,Macon,North Carolina,37113.0,3166,41.0,37041.0,0.0855,0.0011,-1.0,0.0,0.0,0.0,0.0,Low,0.13280000000000003,Western
156,2021-07-02,Madison,North Carolina,37115.0,1601,42.0,21146.0,0.0757,0.002,-1.0,0.0,0.0,0.0,0.0,Low,0.08589999999999998,Western
157,2021-07-02,Martin,North Carolina,37117.0,2329,45.0,21503.0,0.1083,0.0021,4.0,0.0,0.0,0.0,0.0,Low,0.47240000000000004,Coastal
158,2021-07-02,McDowell,North Carolina,37111.0,5289,63.0,44151.0,0.1198,0.0014,-2.0,0.0,0.0,0.0,0.0,Low,0.13959999999999995,Western
159,2021-07-02,Mecklenburg,North Carolina,37119.0,114737,975.0,1128426.0,0.1017,0.0009,57.0,0.0,0.0,0.0,0.0,Low,0.5333,Central
160,2021-07-02,Mitchell,North Carolina,37121.0,1480,16.0,14783.0,0.1001,0.0011,1.0,0.0,0.0,0.0,0.0,Low,0.08320000000000005,Western
161,2021-07-02,Montgomery,North Carolina,37123.0,3384,97.0,25485.0,0.1328,0.0038,1.0,0.0,0.0,0.0,0.0,Low,0.34309999999999996,Eastern
162,2021-07-02,Moore,North Carolina,37125.0,9067,194.0,102966.0,0.0881,0.0019,5.0,0.0,0.0,0.0,0.0,Low,0.2278,Eastern
163,2021-07-02,Nash,North Carolina,37127.0,11709,199.0,96101.0,0.1218,0.0021,0.0,0.0,2.0,0.0,0.0,Low,0.5011,Coastal
164,2021-07-02,New Hanover,North Carolina,37129.0,19559,175.0,230423.0,0.0849,0.0008,2.0,0.0,0.0,0.0,0.0,Low,0.24309999999999998,Coastal
165,2021-07-02,Northampton,North Carolina,37131.0,1895,61.0,16953.0,0.1118,0.0036,1.0,0.0,0.0,0.0,0.0,Low,0.6042000000000001,Eastern
